iter	Passed	Remaining
0	2	257
1	4	236
2	7	251
3	11	264
4	13	251
5	14	232
6	17	230
7	19	218
8	21	214
9	22	205
10	24	197
11	26	193
12	27	187
13	29	181
14	32	181
15	33	177
16	35	172
17	36	167
18	38	163
19	40	160
20	41	156
21	43	153
22	44	149
23	46	148
24	48	145
25	50	142
26	51	139
27	53	136
28	54	134
29	56	131
30	57	128
31	59	126
32	61	124
33	63	122
34	64	120
35	66	117
36	67	115
37	69	113
38	70	111
39	72	109
40	74	107
41	75	104
42	80	106
43	83	106
44	88	108
45	92	108
46	94	106
47	96	104
48	99	103
49	101	101
50	103	99
51	105	97
52	107	95
53	108	92
54	109	89
55	111	87
56	113	85
57	114	83
58	116	81
59	118	78
60	121	77
61	123	75
62	125	73
63	126	71
64	128	69
65	130	67
66	137	67
67	143	67
68	148	66
69	165	70
70	169	69
71	172	66
72	174	64
73	176	62
74	179	59
75	182	57
76	186	55
77	189	53
78	194	51
79	201	50
80	204	48
81	207	45
82	210	43
83	214	40
84	219	38
85	222	36
86	225	33
87	229	31
88	234	29
89	237	26
90	240	23
91	245	21
92	250	18
93	253	16
94	256	13
95	261	10
96	266	8
97	270	5
98	272	2
99	277	0
