iter	Passed	Remaining
0	138	138735
1	298	148820
2	303	100902
3	313	78105
4	319	63630
5	330	54812
6	450	63957
7	457	56764
8	462	50977
9	612	60617
10	617	55549
11	626	51619
12	631	47979
13	641	45168
14	646	42445
15	791	48664
16	797	46117
17	810	44210
18	821	42431
19	826	40519
20	834	38918
21	860	38248
22	874	37132
23	884	35954
24	889	34702
25	941	35257
26	949	34214
27	953	33109
28	959	32113
29	964	31170
30	968	30271
31	973	29439
32	979	28704
33	987	28070
34	992	27358
35	1001	26807
36	1006	26188
37	1011	25594
38	1058	26094
39	1067	25612
40	1071	25062
41	1075	24538
42	1085	24160
43	1103	23977
44	1127	23932
45	1132	23489
46	1137	23062
47	1145	22721
48	1150	22323
49	1154	21943
50	1183	22015
51	1188	21658
52	1193	21326
53	1198	20991
54	1206	20736
55	1211	20423
56	1265	20936
57	1275	20714
58	1279	20412
59	1290	20225
60	1295	19937
61	1327	20082
62	1331	19807
63	1345	19678
64	1359	19550
65	1371	19409
66	1376	19167
67	1381	18929
68	1390	18758
69	1394	18528
70	1407	18421
71	1420	18308
72	1424	18089
73	1428	17875
74	1436	17719
75	1440	17516
76	1453	17418
77	1457	17227
78	1485	17313
79	1490	17144
80	1497	16992
81	1501	16814
82	1503	16613
83	1508	16447
84	1513	16287
85	1517	16125
86	1553	16298
87	1560	16169
88	1569	16065
89	1577	15951
90	1599	15973
91	1607	15865
92	1654	16131
93	1658	15982
94	1662	15840
95	1672	15748
96	1676	15606
97	1687	15536
98	1692	15405
99	1696	15269
100	1705	15184
101	1736	15285
102	1744	15188
103	1750	15079
104	1754	14957
105	1759	14840
106	1769	14766
107	1790	14786
108	1803	14738
109	1814	14683
110	1818	14567
111	1827	14492
112	1835	14404
113	1839	14295
114	1873	14421
115	1877	14311
116	1884	14222
117	1893	14154
118	1899	14064
119	1909	14000
120	1913	13898
121	1940	13965
122	1957	13954
123	1962	13865
124	1970	13792
125	1985	13772
126	1991	13688
127	2001	13637
128	2010	13572
129	2020	13521
130	2025	13433
131	2036	13393
132	2042	13313
133	2046	13225
134	2052	13148
135	2057	13074
136	2066	13016
137	2075	12965
138	2083	12903
139	2090	12842
140	2112	12868
141	2114	12775
142	2122	12720
143	2126	12643
144	2130	12564
145	2139	12515
146	2143	12435
147	2146	12355
148	2153	12301
149	2159	12237
150	2165	12173
151	2169	12102
152	2172	12028
153	2181	11985
154	2185	11913
155	2188	11842
156	2199	11808
157	2202	11739
158	2208	11679
159	2214	11625
160	2216	11552
161	2220	11488
162	2229	11447
163	2239	11415
164	2244	11357
165	2258	11348
166	2264	11297
167	2271	11248
168	2274	11184
169	2280	11135
170	2288	11092
171	2293	11042
172	2303	11009
173	2309	10962
174	2315	10914
175	2321	10870
176	2326	10817
177	2340	10809
178	2349	10777
179	2354	10723
180	2404	10880
181	2416	10862
182	2432	10859
183	2436	10805
184	2449	10789
185	2461	10773
186	2466	10721
187	2472	10678
188	2481	10646
189	2485	10596
190	2492	10558
191	2497	10510
192	2502	10463
193	2514	10447
194	2519	10399
195	2526	10364
196	2533	10327
197	2543	10303
198	2547	10252
199	2556	10227
200	2561	10181
201	2565	10134
202	2573	10103
203	2576	10053
204	2588	10039
205	2592	9992
206	2596	9945
207	2612	9947
208	2621	9920
209	2625	9875
210	2628	9829
211	2636	9798
212	2641	9759
213	2646	9719
214	2651	9679
215	2663	9665
216	2687	9696
217	2691	9653
218	2697	9619
219	2701	9576
220	2703	9531
221	2706	9486
222	2711	9446
223	2714	9403
224	2717	9361
225	2723	9328
226	2727	9287
227	2731	9247
228	2734	9208
229	2740	9173
230	2742	9130
231	2745	9088
232	2750	9053
233	2753	9012
234	2755	8971
235	2758	8930
236	2764	8898
237	2766	8858
238	2769	8818
239	2772	8778
240	2774	8738
241	2784	8721
242	2787	8684
243	2793	8655
244	2797	8621
245	2801	8586
246	2809	8563
247	2813	8530
248	2821	8508
249	2828	8486
250	2832	8450
251	2835	8415
252	2842	8392
253	2847	8362
254	2850	8328
255	2859	8310
256	2864	8281
257	2867	8247
258	2873	8222
259	2880	8198
260	2890	8185
261	2896	8158
262	2902	8133
263	2908	8108
264	2912	8078
265	2950	8141
266	2954	8111
267	2957	8078
268	2972	8077
269	2984	8070
270	2989	8041
271	2997	8022
272	3003	7997
273	3006	7965
274	3011	7939
275	3014	7908
276	3018	7878
277	3021	7847
278	3027	7822
279	3031	7795
280	3035	7765
281	3046	7756
282	3050	7728
283	3054	7700
284	3058	7673
285	3065	7653
286	3071	7630
287	3075	7602
288	3079	7575
289	3093	7572
290	3097	7546
291	3105	7530
292	3110	7506
293	3114	7479
294	3120	7457
295	3123	7428
296	3126	7400
297	3129	7372
298	3136	7353
299	3140	7327
300	3143	7300
301	3149	7279
302	3152	7251
303	3156	7226
304	3159	7199
305	3183	7219
306	3187	7194
307	3190	7167
308	3195	7146
309	3199	7120
310	3202	7095
311	3205	7069
312	3210	7047
313	3213	7020
314	3217	6996
315	3220	6970
316	3227	6952
317	3231	6931
318	3234	6904
319	3238	6882
320	3241	6857
321	3245	6832
322	3247	6806
323	3249	6780
324	3254	6759
325	3257	6734
326	3260	6710
327	3263	6685
328	3265	6660
329	3270	6640
330	3273	6616
331	3276	6592
332	3279	6568
333	3283	6546
334	3286	6523
335	3289	6500
336	3292	6476
337	3294	6453
338	3299	6433
339	3302	6410
340	3305	6387
341	3307	6364
342	3310	6341
343	3316	6323
344	3318	6301
345	3321	6278
346	3327	6261
347	3331	6241
348	3334	6220
349	3344	6212
350	3348	6191
351	3351	6170
352	3356	6152
353	3360	6132
354	3364	6112
355	3368	6092
356	3380	6088
357	3383	6067
358	3389	6051
359	3393	6033
360	3397	6013
361	3402	5996
362	3405	5976
363	3409	5956
364	3412	5937
365	3418	5921
366	3422	5902
367	3427	5885
368	3433	5871
369	3444	5865
370	3450	5850
371	3453	5830
372	3456	5809
373	3459	5789
374	3463	5772
375	3466	5753
376	3469	5733
377	3471	5712
378	3474	5692
379	3478	5676
380	3481	5655
381	3484	5636
382	3486	5616
383	3488	5596
384	3492	5579
385	3495	5560
386	3498	5541
387	3500	5521
388	3503	5502
389	3509	5488
390	3511	5469
391	3514	5450
392	3517	5433
393	3524	5420
394	3527	5403
395	3530	5384
396	3532	5365
397	3537	5351
398	3540	5333
399	3543	5314
400	3545	5296
401	3548	5278
402	3553	5263
403	3555	5245
404	3558	5227
405	3560	5209
406	3562	5191
407	3567	5175
408	3569	5158
409	3572	5140
410	3575	5123
411	3577	5106
412	3583	5092
413	3586	5076
414	3590	5061
415	3597	5049
416	3600	5033
417	3604	5019
418	3608	5003
419	3615	4993
420	3619	4977
421	3622	4961
422	3629	4950
423	3635	4938
424	3638	4922
425	3643	4909
426	3646	4893
427	3650	4878
428	3653	4862
429	3659	4850
430	3662	4834
431	3665	4818
432	3669	4804
433	3676	4795
434	3679	4779
435	3682	4763
436	3688	4751
437	3691	4736
438	3694	4720
439	3696	4705
440	3699	4689
441	3706	4679
442	3709	4664
443	3713	4650
444	3716	4635
445	3720	4620
446	3722	4605
447	3725	4589
448	3728	4575
449	3735	4565
450	3738	4550
451	3741	4535
452	3743	4520
453	3747	4506
454	3750	4492
455	3752	4476
456	3755	4461
457	3757	4446
458	3759	4431
459	3763	4418
460	3766	4403
461	3768	4388
462	3771	4373
463	3773	4359
464	3777	4346
465	3779	4331
466	3782	4316
467	3784	4301
468	3786	4287
469	3789	4273
470	3793	4260
471	3796	4246
472	3798	4232
473	3800	4217
474	3802	4203
475	3805	4189
476	3809	4176
477	3811	4162
478	3814	4148
479	3817	4135
480	3819	4121
481	3823	4109
482	3826	4095
483	3830	4084
484	3833	4070
485	3837	4058
486	3839	4044
487	3842	4031
488	3845	4018
489	3855	4012
490	3859	4000
491	3861	3987
492	3863	3973
493	3868	3962
494	3870	3949
495	3873	3936
496	3876	3923
497	3879	3910
498	3884	3899
499	3887	3887
500	3890	3874
501	3893	3862
502	3899	3852
503	3902	3840
504	3905	3828
505	3908	3815
506	3914	3805
507	3917	3793
508	3920	3782
509	3932	3778
510	3939	3769
511	3942	3757
512	3946	3746
513	3950	3734
514	3953	3723
515	3957	3712
516	3960	3700
517	3963	3688
518	3967	3677
519	3975	3669
520	3978	3657
521	3982	3646
522	3984	3634
523	3989	3623
524	3992	3611
525	3994	3599
526	3997	3587
527	4000	3575
528	4005	3566
529	4008	3554
530	4011	3542
531	4013	3531
532	4016	3519
533	4020	3508
534	4023	3497
535	4026	3485
536	4030	3474
537	4034	3464
538	4037	3452
539	4039	3440
540	4041	3429
541	4043	3417
542	4048	3407
543	4050	3395
544	4052	3383
545	4054	3371
546	4057	3359
547	4059	3348
548	4065	3339
549	4067	3327
550	4069	3316
551	4072	3305
552	4074	3293
553	4079	3283
554	4081	3272
555	4083	3261
556	4087	3250
557	4095	3244
558	4099	3233
559	4110	3229
560	4113	3219
561	4116	3208
562	4119	3197
563	4126	3190
564	4129	3179
565	4131	3168
566	4134	3157
567	4136	3146
568	4140	3136
569	4142	3125
570	4146	3115
571	4150	3105
572	4154	3096
573	4157	3085
574	4159	3074
575	4161	3063
576	4163	3052
577	4165	3041
578	4170	3032
579	4173	3022
580	4176	3012
581	4179	3001
582	4182	2991
583	4185	2981
584	4187	2970
585	4190	2960
586	4192	2949
587	4194	2938
588	4196	2928
589	4199	2918
590	4202	2908
591	4205	2898
592	4207	2887
593	4215	2881
594	4217	2871
595	4222	2861
596	4227	2853
597	4229	2843
598	4232	2833
599	4235	2823
600	4237	2813
601	4243	2805
602	4245	2794
603	4247	2784
604	4249	2774
605	4252	2764
606	4257	2756
607	4259	2746
608	4262	2736
609	4264	2726
610	4267	2716
611	4271	2708
612	4274	2698
613	4277	2688
614	4280	2679
615	4283	2670
616	4288	2661
617	4290	2652
618	4293	2642
619	4296	2633
620	4298	2623
621	4303	2615
622	4306	2606
623	4309	2596
624	4312	2587
625	4314	2577
626	4318	2568
627	4320	2559
628	4322	2549
629	4325	2540
630	4327	2530
631	4332	2522
632	4334	2513
633	4336	2503
634	4342	2496
635	4349	2489
636	4354	2481
637	4356	2471
638	4358	2462
639	4362	2454
640	4365	2444
641	4367	2435
642	4369	2425
643	4371	2416
644	4373	2407
645	4377	2399
646	4380	2389
647	4382	2380
648	4384	2371
649	4386	2362
650	4389	2352
651	4391	2344
652	4394	2335
653	4396	2326
654	4399	2317
655	4401	2307
656	4407	2300
657	4410	2292
658	4414	2284
659	4416	2275
660	4422	2267
661	4425	2259
662	4430	2252
663	4436	2245
664	4439	2236
665	4442	2228
666	4444	2219
667	4447	2210
668	4450	2201
669	4452	2193
670	4454	2184
671	4456	2175
672	4458	2166
673	4461	2157
674	4463	2149
675	4467	2141
676	4469	2132
677	4471	2123
678	4473	2115
679	4476	2106
680	4480	2098
681	4482	2090
682	4484	2081
683	4486	2072
684	4489	2064
685	4491	2055
686	4495	2048
687	4498	2039
688	4500	2031
689	4502	2022
690	4504	2014
691	4507	2006
692	4511	1998
693	4513	1989
694	4515	1981
695	4517	1973
696	4519	1964
697	4522	1956
698	4527	1949
699	4529	1941
700	4531	1932
701	4533	1924
702	4535	1916
703	4537	1907
704	4541	1900
705	4543	1892
706	4545	1883
707	4547	1875
708	4549	1867
709	4551	1859
710	4555	1851
711	4557	1843
712	4560	1835
713	4562	1827
714	4564	1819
